battery_id,cycle,capacity_Ah,voltage_mean_V,voltage_min_V,current_mean_A,temperature_max_C,internal_resistance_ohm,discharge_time_s,is_synthetic_fault
B0005,1,1.9983,3.6934,3.055,-2.0427,32.89,0.05159,3598.9,False
B0005,2,2.0053,3.7101,3.042,-1.9816,31.009,0.05165,3608.1,False
B0005,3,1.9892,3.6848,2.7936,-2.0077,31.636,0.04951,3596.6,False
B0005,4,1.9918,3.707,2.9021,-1.8929,31.643,0.04914,3560.8,False
B0005,5,1.9913,3.7213,3.0823,-2.042,31.228,0.05148,3606.6,False
B0005,6,1.9876,3.6848,2.8434,-1.9942,32.293,0.05199,3584.4,False
B0005,7,1.986,3.6992,2.8632,-1.9684,30.627,0.04964,3560.6,False
B0005,8,1.9698,3.69,3.0556,-2.0433,33.149,0.04724,3535.6,False
B0005,9,1.9749,3.708,2.9402,-1.9603,31.802,0.04958,3580.5,False
B0005,10,1.9683,3.6697,2.9996,-2.046,32.687,0.05092,3563.7,False
B0005,11,1.963,3.6976,2.8983,-2.0155,32.679,0.04942,3522.5,False
B0005,12,1.9605,3.6702,2.9316,-2.0235,32.25,0.05175,3542.3,False
B0005,13,1.968,3.6932,3.0028,-2.004,30.505,0.04775,3502.7,False
B0005,14,1.9484,3.7003,2.8903,-2.0189,33.609,0.05032,3529.2,False
B0005,15,1.9461,3.6878,3.0589,-2.017,33.164,0.04762,3515.9,False
B0005,16,1.9548,3.6813,2.8244,-1.9964,31.742,0.05137,3519.3,False
B0005,17,1.9655,3.69,3.0647,-1.991,32.427,0.05341,3562.9,False
B0005,18,1.95,3.7218,2.9455,-2.032,31.373,0.05022,3468.8,False
B0005,19,1.9498,3.688,2.8005,-2.0508,32.614,0.05268,3569.6,False
B0005,20,1.9697,3.7037,2.9322,-2.1066,32.45,0.04898,3532.9,False
B0005,21,1.9314,3.6869,2.839,-1.9921,32.253,0.0493,3426.3,False
B0005,22,1.8216,3.6789,2.7147,-1.9935,41.633,0.05164,3257.1,True
B0005,23,1.9529,3.6765,2.834,-2.0451,33.214,0.05171,3510.5,False
B0005,24,1.9282,3.6761,3.0268,-2.0227,31.205,0.04888,3476.0,False
B0005,25,1.9414,3.6944,2.8264,-1.9857,33.657,0.05161,3482.3,False
B0005,26,1.9337,3.6986,2.8746,-1.9908,31.173,0.04859,3530.3,False
B0005,27,1.9369,3.687,3.0332,-1.9269,31.271,0.04947,3505.8,False
B0005,28,1.9128,3.6868,3.0436,-1.9831,33.931,0.05193,3462.3,False
B0005,29,1.8933,3.683,2.8747,-2.0609,31.762,0.05147,3435.3,False
B0005,30,1.8975,3.6852,3.0481,-1.9756,32.131,0.05139,3445.6,False
B0005,31,1.9132,3.7137,3.0278,-2.0348,32.297,0.05222,3449.0,False
B0005,32,1.894,3.6859,2.9602,-1.8741,34.513,0.05041,3400.6,False
B0005,33,1.8872,3.6713,3.0659,-1.9397,31.948,0.05095,3332.6,False
B0005,34,1.8973,3.6633,2.803,-1.8894,32.087,0.0503,3412.2,False
B0005,35,1.8783,3.6524,2.9781,-2.0644,31.633,0.05611,3468.2,False
B0005,36,1.8812,3.6748,3.031,-1.9136,31.726,0.05189,3409.5,False
B0005,37,1.8943,3.6766,3.0305,-2.0687,32.396,0.05158,3416.7,False
B0005,38,1.8814,3.6916,2.8874,-1.9922,33.063,0.05248,3386.6,False
B0005,39,1.8768,3.6878,3.0334,-1.8593,34.832,0.05561,3389.8,False
B0005,40,1.756,3.6686,2.9183,-1.9404,41.351,0.05673,3174.5,True
B0005,41,1.867,3.6706,2.8368,-1.9974,32.506,0.05245,3353.0,False
B0005,42,1.8766,3.7109,2.9721,-2.0118,32.917,0.05306,3366.8,False
B0005,43,1.8546,3.6847,3.015,-2.0767,33.737,0.05225,3336.4,False
B0005,44,1.8586,3.6721,2.7874,-1.9709,34.581,0.05518,3358.7,False
B0005,45,1.8836,3.6913,2.85,-2.0148,32.765,0.05093,3420.2,False
B0005,46,1.8514,3.6934,2.8351,-1.9965,34.063,0.05447,3387.2,False
B0005,47,1.8675,3.6487,3.0075,-2.0586,32.277,0.05567,3380.7,False
B0005,48,1.8503,3.6573,2.9812,-2.0608,32.227,0.05362,3365.1,False
B0005,49,1.8604,3.6332,2.8764,-1.9964,33.252,0.05603,3286.8,False
B0005,50,1.8454,3.6886,3.0535,-1.9262,33.296,0.05479,3304.6,False
B0005,51,1.8565,3.6998,2.8303,-1.9883,33.132,0.05114,3337.2,False
B0005,52,1.8438,3.6842,2.8034,-2.0529,32.812,0.05609,3296.6,False
B0005,53,1.8342,3.6792,2.9354,-1.9994,34.324,0.05503,3326.7,False
B0005,54,1.8449,3.7233,2.9322,-2.1002,34.535,0.05219,3324.1,False
B0005,55,1.8495,3.6454,2.9568,-2.0801,32.109,0.05389,3344.9,False
B0005,56,1.8362,3.6472,2.7481,-1.9973,32.511,0.05419,3326.3,False
B0005,57,1.8319,3.69,2.8209,-1.9735,32.304,0.053,3303.3,False
B0005,58,1.8357,3.6675,2.8706,-2.0133,32.868,0.05494,3244.5,False
B0005,59,1.8116,3.6421,2.7873,-2.0339,33.88,0.0532,3266.8,False
B0005,60,1.8325,3.7014,3.0894,-2.0385,34.359,0.05354,3273.3,False
B0005,61,1.8126,3.6423,2.9844,-2.0179,33.928,0.05719,3221.3,False
B0005,62,1.8195,3.6521,3.0394,-2.0066,31.252,0.05547,3257.0,False
