battery_id,cycle,capacity_Ah,voltage_mean_V,voltage_min_V,current_mean_A,temperature_max_C,internal_resistance_ohm,discharge_time_s,is_synthetic_fault,capacity_fade_pct,capacity_delta,rolling_capacity_std,voltage_sag,cycles_to_eol
B0005,1,1.9983,3.6934,3.055,-2.0427,32.89,0.05159,3598.9,False,0.0,0.0,0.0,0.6383999999999999,114
B0005,2,2.0053,3.7101,3.042,-1.9816,31.009,0.05165,3608.1,False,-0.350297753090123,0.007000000000000117,0.004949747468305759,0.6681000000000004,113
B0005,3,1.9892,3.6848,2.7936,-2.0077,31.636,0.04951,3596.6,False,0.45538707901715547,-0.016100000000000003,0.008072793816269649,0.8912,112
B0005,4,1.9918,3.707,2.9021,-1.8929,31.643,0.04914,3560.8,False,0.32527648501226025,0.0025999999999999357,0.0072011573143952465,0.8049,111
B0005,5,1.9913,3.7213,3.0823,-2.042,31.228,0.05148,3606.6,False,0.350297753090123,-0.0004999999999999449,0.006602802435330114,0.6389999999999998,110
B0005,6,1.9876,3.6848,2.8434,-1.9942,32.293,0.05199,3584.4,False,0.5354551368663363,-0.0037000000000000366,0.007057124060125486,0.8414000000000001,109
B0005,7,1.986,3.6992,2.8632,-1.9684,30.627,0.04964,3560.6,False,0.615523194715506,-0.0016000000000000458,0.002447856204927742,0.8359999999999999,108
B0005,8,1.9698,3.69,3.0556,-2.0433,33.149,0.04724,3535.6,False,1.426212280438366,-0.016199999999999992,0.009003888049059924,0.6343999999999999,107
B0005,9,1.9749,3.708,2.9402,-1.9603,31.802,0.04958,3580.5,False,1.1709953460441347,0.0051000000000001044,0.009125075342154954,0.7678000000000003,106
B0005,10,1.9683,3.6697,2.9996,-2.046,32.687,0.05092,3563.7,False,1.5012760846719764,-0.006600000000000161,0.009010937798032175,0.6701000000000001,105
B0005,11,1.963,3.6976,2.8983,-2.0155,32.679,0.04942,3522.5,False,1.7665015262973482,-0.00529999999999986,0.008705458058023372,0.7993000000000001,104
B0005,12,1.9605,3.6702,2.9316,-2.0235,32.25,0.05175,3542.3,False,1.8916078666866842,-0.0025000000000001688,0.0056951733950779,0.7385999999999999,103
B0005,13,1.968,3.6932,3.0028,-2.004,30.505,0.04775,3502.7,False,1.5162888455186874,0.007500000000000062,0.005552747067893782,0.6903999999999999,102
B0005,14,1.9484,3.7003,2.8903,-2.0189,33.609,0.05032,3529.2,False,2.4971225541710496,-0.019600000000000062,0.008112521186412909,0.81,101
